222,＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　焼き,1.4,0.2,39
223,＜いも類＞　さつまいも類　さつまいも　蒸し切干,3.1,0.6,71.9
224,＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　生,1.2,0.3,31.7
225,＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　蒸し,1.2,0.3,31.4
226,＜いも類＞　さといも類　さといも　球茎　生,1.5,0.1,13.1
227,＜いも類＞　さといも類　さといも　球茎　水煮,1.5,0.1,13.4
228,＜いも類＞　さといも類　さといも　球茎　冷凍,2.2,0.1,16.1
229,＜いも類＞　さといも類　セレベス　球茎　生,2.2,0.3,19.8
230,＜いも類＞　さといも類　セレベス　球茎　水煮,2.1,0.3,19.1
231,＜いも類＞　さといも類　たけのこいも　球茎　生,1.7,0.4,23.5
232,＜いも類＞　さといも類　たけのこいも　球茎　水煮,1.6,0.4,21.8
233,＜いも類＞　さといも類　みずいも　球茎　生,0.7,0.4,27.6
234,＜いも類＞　さといも類　みずいも　球茎　水煮,0.7,0.4,26.1
235,＜いも類＞　さといも類　やつがしら　球茎　生,3,0.7,20.5
236,＜いも類＞　さといも類　やつがしら　球茎　水煮,2.7,0.6,20
237,＜いも類＞　じゃがいも　塊茎　皮つき　生,1.8,0.1,15.9
238,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,2.1,0.2,19.2
239,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　生を揚げたもの,2.7,5.6,25.4
240,＜いも類＞　じゃがいも　塊茎　皮なし　生,1.8,0.1,17.3
241,＜いも類＞　じゃがいも　塊茎　皮なし　水煮,1.7,0.1,16.9
242,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,1.9,0.3,18.1
243,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,1.9,0.1,19
244,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　生を揚げたもの,2.7,5.9,26.2
